ItemCode,Date,DailySales,CategoryCode
3418,2021-10-01,18.0,category_1
3418,2021-10-02,3.0,category_1
3418,2021-10-03,8.0,category_1
3418,2021-10-04,2.0,category_1
3418,2021-10-05,4.0,category_1
3418,2021-10-06,2.0,category_1
3418,2021-10-07,8.0,category_1
3418,2021-10-08,12.0,category_1
3418,2021-10-09,,category_1
3418,2021-10-10,14.0,category_1
3418,2021-10-11,2.0,category_1
3418,2021-10-12,9.0,category_1
3418,2021-10-13,8.0,category_1
3418,2021-10-14,5.0,category_1
3418,2021-10-15,15.0,category_1
3418,2021-10-16,2.0,category_1
3418,2021-10-17,,category_1
3418,2021-10-18,14.0,category_1
3418,2021-10-19,4.0,category_1
3418,2021-10-20,12.0,category_1
3418,2021-10-21,2.0,category_1
3418,2021-10-22,1.0,category_1
3418,2021-10-23,6.0,category_1
3418,2021-10-24,2.0,category_1
3418,2021-10-25,13.0,category_1
3418,2021-10-26,5.0,category_1
3418,2021-10-27,5.0,category_1
3418,2021-10-28,6.0,category_1
3418,2021-10-29,10.0,category_1
3418,2021-10-30,2.0,category_1
3418,2021-10-31,3.0,category_1
3418,2021-11-01,8.0,category_1
3418,2021-11-02,12.0,category_1
3418,2021-11-03,8.0,category_1
3418,2021-11-04,10.0,category_1
3418,2021-11-05,7.0,category_1
3418,2021-11-06,1.0,category_1
3418,2021-11-07,,category_1
3418,2021-11-08,14.0,category_1
3418,2021-11-09,3.0,category_1
3418,2021-11-10,6.0,category_1
3418,2021-11-11,7.0,category_1
3418,2021-11-12,3.0,category_1
3418,2021-11-13,5.0,category_1
3418,2021-11-14,5.0,category_1
3418,2021-11-15,7.0,category_1
3418,2021-11-16,20.0,category_1
3418,2021-11-17,10.0,category_1
3418,2021-11-18,,category_1
3418,2021-11-19,12.0,category_1
3418,2021-11-20,,category_1
3418,2021-11-21,,category_1
3418,2021-11-22,2.0,category_1
3418,2021-11-23,10.0,category_1
3418,2021-11-24,6.0,category_1
3418,2021-11-25,17.0,category_1
3418,2021-11-26,7.0,category_1
3418,2021-11-27,5.0,category_1
3418,2021-11-28,7.0,category_1
3418,2021-11-29,6.0,category_1
3418,2021-11-30,6.0,category_1
3418,2021-12-01,13.0,category_1
3418,2021-12-02,14.0,category_1
3418,2021-12-03,9.0,category_1
3418,2021-12-04,12.0,category_1
3418,2021-12-05,9.0,category_1
3418,2021-12-06,25.0,category_1
3418,2021-12-07,11.0,category_1
3418,2021-12-08,6.0,category_1
3418,2021-12-09,16.0,category_1
3418,2021-12-10,12.0,category_1
3418,2021-12-11,20.0,category_1
3418,2021-12-12,11.0,category_1
3418,2021-12-13,12.0,category_1
3418,2021-12-14,15.0,category_1
3418,2021-12-15,4.0,category_1
3418,2021-12-16,24.0,category_1
3418,2021-12-17,3.0,category_1
3418,2021-12-18,13.0,category_1
3418,2021-12-19,2.0,category_1
3418,2021-12-20,7.0,category_1
3418,2021-12-21,19.0,category_1
3418,2021-12-22,1.0,category_1
3418,2021-12-23,16.0,category_1
3418,2021-12-24,19.0,category_1
3418,2021-12-25,9.0,category_1
3418,2021-12-26,4.0,category_1
3418,2021-12-27,6.0,category_1
3418,2021-12-28,6.0,category_1
3418,2021-12-29,10.0,category_1
3418,2021-12-30,11.0,category_1
3418,2021-12-31,6.0,category_1
3418,2022-01-01,4.0,category_1
3418,2022-01-02,13.0,category_1
3418,2022-01-03,9.0,category_1
3418,2022-01-04,26.0,category_1
3418,2022-01-05,2.0,category_1
3418,2022-01-06,20.0,category_1
3418,2022-01-07,20.0,category_1
3418,2022-01-08,3.0,category_1
3418,2022-01-09,3.0,category_1
3418,2022-01-10,7.0,category_1
3418,2022-01-11,7.0,category_1
3418,2022-01-12,14.0,category_1
3418,2022-01-13,28.0,category_1
3418,2022-01-14,8.0,category_1
3418,2022-01-15,9.0,category_1
3418,2022-01-16,12.0,category_1
3418,2022-01-17,18.0,category_1
3418,2022-01-18,,category_1
3418,2022-01-19,16.0,category_1
3418,2022-01-20,12.0,category_1
3418,2022-01-21,18.0,category_1
3418,2022-01-22,8.0,category_1
3418,2022-01-23,17.0,category_1
3418,2022-01-24,15.0,category_1
3418,2022-01-25,2.0,category_1
3418,2022-01-26,3.0,category_1
3418,2022-01-27,19.0,category_1
3418,2022-01-28,7.0,category_1
3418,2022-01-29,9.0,category_1
3418,2022-01-30,12.0,category_1
3418,2022-01-31,22.0,category_1
3418,2022-02-01,7.0,category_1
3418,2022-02-02,17.0,category_1
3418,2022-02-03,29.0,category_1
3418,2022-02-04,10.0,category_1
3418,2022-02-05,11.0,category_1
3418,2022-02-06,13.0,category_1
3418,2022-02-07,6.0,category_1
3418,2022-02-08,7.0,category_1
3418,2022-02-09,26.0,category_1
3418,2022-02-10,9.0,category_1
3418,2022-02-11,2.0,category_1
3418,2022-02-12,19.0,category_1
3418,2022-02-13,3.0,category_1
3427,2021-10-01,2.0,category_1
3427,2021-10-02,7.0,category_1
3427,2021-10-03,2.0,category_1
3427,2021-10-04,3.0,category_1
3427,2021-10-05,9.0,category_1
3427,2021-10-06,,category_1
3427,2021-10-07,5.0,category_1
3427,2021-10-08,8.0,category_1
3427,2021-10-09,10.0,category_1
3427,2021-10-10,5.0,category_1
3427,2021-10-11,5.0,category_1
3427,2021-10-12,4.0,category_1
3427,2021-10-13,,category_1
3427,2021-10-14,4.0,category_1
3427,2021-10-15,3.0,category_1
3427,2021-10-16,2.0,category_1
3427,2021-10-17,2.0,category_1
3427,2021-10-18,27.0,category_1
3427,2021-10-19,1.0,category_1
3427,2021-10-20,7.0,category_1
3427,2021-10-21,,category_1
3427,2021-10-22,6.0,category_1
3427,2021-10-23,6.0,category_1
3427,2021-10-24,1.0,category_1
3427,2021-10-25,21.0,category_1
3427,2021-10-26,5.0,category_1
3427,2021-10-27,11.0,category_1
3427,2021-10-28,2.0,category_1
3427,2021-10-29,10.0,category_1
3427,2021-10-30,2.0,category_1
3427,2021-10-31,3.0,category_1
3427,2021-11-01,3.0,category_1
3427,2021-11-02,3.0,category_1
3427,2021-11-03,5.0,category_1
3427,2021-11-04,14.0,category_1
3427,2021-11-05,2.0,category_1
3427,2021-11-06,,category_1
3427,2021-11-07,1.0,category_1
3427,2021-11-08,10.0,category_1
3427,2021-11-09,5.0,category_1
3427,2021-11-10,,category_1
3427,2021-11-11,2.0,category_1
3427,2021-11-12,7.0,category_1
3427,2021-11-13,4.0,category_1
3427,2021-11-14,8.0,category_1
3427,2021-11-15,5.0,category_1
3427,2021-11-16,6.0,category_1
3427,2021-11-17,20.0,category_1
3427,2021-11-18,1.0,category_1
3427,2021-11-19,11.0,category_1
3427,2021-11-20,6.0,category_1
3427,2021-11-21,3.0,category_1
3427,2021-11-22,1.0,category_1
3427,2021-11-23,7.0,category_1
3427,2021-11-24,5.0,category_1
3427,2021-11-25,2.0,category_1
3427,2021-11-26,11.0,category_1
3427,2021-11-27,9.0,category_1
3427,2021-11-28,7.0,category_1
3427,2021-11-29,5.0,category_1
3427,2021-11-30,5.0,category_1
3427,2021-12-01,20.0,category_1
3427,2021-12-02,6.0,category_1
3427,2021-12-03,4.0,category_1
3427,2021-12-04,7.0,category_1
3427,2021-12-05,10.0,category_1
3427,2021-12-06,15.0,category_1
3427,2021-12-07,4.0,category_1
3427,2021-12-08,5.0,category_1
3427,2021-12-09,3.0,category_1
3427,2021-12-10,7.0,category_1
3427,2021-12-11,2.0,category_1
3427,2021-12-12,10.0,category_1
3427,2021-12-13,8.0,category_1
3427,2021-12-14,5.0,category_1
3427,2021-12-15,3.0,category_1
3427,2021-12-16,6.0,category_1
3427,2021-12-17,5.0,category_1
3427,2021-12-18,13.0,category_1
3427,2021-12-19,5.0,category_1
3427,2021-12-20,20.0,category_1
3427,2021-12-21,13.0,category_1
3427,2021-12-22,6.0,category_1
3427,2021-12-23,16.0,category_1
3427,2021-12-24,12.0,category_1
3427,2021-12-25,2.0,category_1
3427,2021-12-26,9.0,category_1
3427,2021-12-27,15.0,category_1
3427,2021-12-28,3.0,category_1
3427,2021-12-29,5.0,category_1
3427,2021-12-30,7.0,category_1
3427,2021-12-31,2.0,category_1
3427,2022-01-01,2.0,category_1
3427,2022-01-02,5.0,category_1
3427,2022-01-03,5.0,category_1
3427,2022-01-04,1.0,category_1
